FIPS,State,County,perc_Adults_Obesity,95_Cl_low_obs,95_Cl_high_obs,Avg_num_Physical_Unhealthy_Days,Avg_num_Mental_Unhealthy_Days,Food_Environment_Index,perc_Physically_Inactive,perc_With_Access_Exercise,num_Uninsured,perc_Uninsured,num_Primary_Care_Physicians,Primary_Care_Physicians_Rate,Primary_Care_Physicians_Ratio,num_Dentists,Dentist_Rate,Dentist_Ratio,num_Mental_Health_Providers,Mental_Health_Provider_Rate,Mental_Health_Provider_Ratio,num_Completed_High_School,Population_Age25,perc_Completed_HighSchool,num_Some_College,Population_25_Age_44,perc_Some_college,num_UnemployedAge16,LaborForce_Size,perc_Unemployed,80th_Percentile_Income,20th_Percentile_Income,Income_Ratio,num_Children_SingleParent_Households,num_Children_Overall_Households,perc_Children_SingleParent_Households,num_Associations,Social_Association_Rate,perc_Severe_Housing_Problems,Severe_Housing_Cost_Burdenperc,Overcrowdingperc,Inadequate_Facilitiesperc,num_Food_Insecure,perc_Food_Insecure,num_LimitedAccess_healthyFood,perc_LimitedAccess_HealthyFoods,perc_Adults_Diabetes,95_CI_Low_Adults_Diabetes,95_CI_High_Adults_Diabetes,perc_Insufficient_Sleep,num_Uninsured,perc_Uninsured,Median_Household_Income,95_CI_Low_Median_Household_Income,95_CI_High_Median_Household_Income,Household_Income_NativeAmerican,Household_Income_Asian,Household_Income_Black,Household_Income_Hispanic,Household_Income_white,num_Homeowners,perc_Homeowners,num_Household_Severe_Cost_Burden,perc_Severe_Housing_Cost_Burden,Population,perc_greater18Age,perc65greaterAge,numBlack,percBlack,numNativeAmerican,percNativeAmerican,numAsian,percAsian,numNativeHawaiianPacificIslander,percNativeHawaiianPacificIslander,numHispanic,percHispanic, numNonHispanic_white,percNonHispanic_white,numNotProficient_English,percNotProficient_English,percfemale,numrural_residents,percrural
48101,Texas,Cottle,40,39,42,5.2,5.2,0.6,37,83,226,22,0,0,1398:0,0,0,1363:0,,,,864,1066,81,223,378,59,28,570,4.9,77167,15041,5.1,160,460,35,3,21.5,9,7,4,0,380,23,856,57,15,14,16,39,178,24,44430,36342,52518,,,,,,438,62,44,7,1363,21.8,25.8,133,9.8,7,0.5,2,0.1,1,0.1,344,25.2,859,63.0,17,1,51.6,1505,100.0
48103,Texas,Crane,38,36,40,4.1,4.2,8.9,34,92,850,20,1,21,4797:1,1,21,4765:1,,,,2195,2856,77,499,1258,40,221,1624,13.6,113617,22051,5.2,169,1483,11,5,10.4,14,6,6,2,400,8,171,4,14,13,15,36,640,23,67547,54568,80526,,,,52500,72708,1329,89,81,6,4765,28.6,12.4,125,2.6,84,1.8,55,1.2,13,0.3,3147,66.0,1387,29.1,430,10,49.4,468,10.7
48105,Texas,Crockett,38,37,40,4.1,4.2,8.2,34,91,593,21,1,29,3464:1,1,28,3513:1,,,,1943,2471,79,303,896,34,138,1559,8.9,81086,21368,3.8,206,792,26,5,14.4,14,9,6,0,430,12,84,2,14,13,15,36,468,24,54458,44423,64493,,,,42692,46970,923,66,149,12,3513,25.3,19.1,25,0.7,95,2.7,37,1.1,3,0.1,2346,66.8,1063,30.3,129,4,49.9,846,22.7
48107,Texas,Crosby,41,40,43,4.9,4.7,7.4,39,21,983,21,2,35,2869:1,,,,,,,2854,3746,76,616,1396,44,124,2389,5.2,81664,19207,4.3,528,1499,35,9,15.7,15,7,7,0,970,17,141,2,16,15,17,38,798,25,42804,35476,50132,,,35417,34836,56591,1530,73,145,7,5567,25.6,19.0,153,2.7,73,1.3,21,0.4,4,0.1,3167,56.9,2158,38.8,146,3,50.2,6059,100.0
48109,Texas,Culberson,44,42,45,5.5,4.9,6.7,44,93,405,24,1,46,2171:1,0,0,2149:0,,,,926,1416,65,258,513,50,75,1150,6.5,77545,16370,4.7,315,591,53,0,0.0,15,10,6,0,420,19,102,4,19,18,20,39,325,27,47479,38579,56379,,,,29315,55734,442,66,48,8,2149,22.8,21.4,27,1.3,55,2.6,48,2.2,1,0.0,1574,73.2,468,21.8,169,9,50.0,2398,100.0
48111,Texas,Dallam,37,36,39,4.3,4.5,6.6,33,80,2143,34,5,69,1457:1,2,27,3637:1,3,41,2424:1,3007,4415,68,1001,1871,54,105,3750,2.8,90400,30518,3.0,179,2358,8,10,13.7,10,7,3,2,940,13,1179,18,13,12,14,37,1535,38,55253,45957,64549,,,,39644,63565,1795,77,101,5,7273,32.7,12.0,141,1.9,173,2.4,109,1.5,10,0.1,3438,47.3,3501,48.1,961,15,47.6,1578,23.5
48113,Texas,Dallas,33,32,34,4.1,4.3,7.4,32,96,576926,25,1863,71,1415:1,2321,88,1136:1,4503,171,585:1,1355206,1686671,80,478977,794464,60,103841,1355033,7.7,123520,27949,4.4,211418,684220,31,1981,7.5,21,15,7,1,364840,14,171370,7,14,13,15,37,476402,29,65770,63881,67659,55615,85356,46623,52635,84062,476375,50,139445,15,2635888,25.6,11.4,601084,22.8,29349,1.1,182776,6.9,2906,0.1,1075954,40.8,734430,27.9,259163,11,50.7,16300,0.7
48115,Texas,Dawson,43,41,44,5.2,4.8,5.4,40,61,2193,23,5,39,2546:1,6,46,2162:1,1,8,12974:1,5796,8098,72,1388,3537,39,398,4558,8.7,92303,17050,5.4,1271,3318,38,19,14.9,16,11,3,2,2370,19,2599,19,17,16,18,39,1784,28,47233,38632,55834,57143,,19313,32952,52500,3102,70,555,13,12974,25.5,14.7,724,5.6,166,1.3,131,1.0,17,0.1,7605,58.6,4385,33.8,441,4,44.6,2254,16.3
48117,Texas,Deaf Smith,40,38,42,4.6,4.4,7.6,37,75,4144,26,2,11,9273:1,6,33,3046:1,1,5,18277:1,7967,10956,73,1980,4659,42,310,8567,3.6,97473,26807,3.6,1221,5789,21,18,9.7,13,8,4,2,2380,13,1440,7,15,14,16,36,3385,33,51412,42223,60601,,127727,56250,46206,61442,3962,65,449,8,18277,31.0,13.3,199,1.1,334,1.8,108,0.6,14,0.1,13751,75.2,4072,22.3,1685,10,50.0,3431,17.7
48119,Texas,Delta,36,35,38,4.2,4.9,7.1,29,59,778,19,1,19,5331:1,,,,3,56,1783:1,3151,3605,87,747,1081,69,133,2401,5.5,107295,20732,5.2,194,1220,16,5,9.4,14,12,2,0,950,18,104,2,11,10,12,37,625,21,50456,41584,59328,,,28036,91167,50112,1670,81,201,10,5349,23.1,21.6,359,6.7,136,2.5,35,0.7,3,0.1,474,8.9,4231,79.1,5,0,50.5,5231,100.0
48121,Texas,Denton,32,31,33,3.2,3.9,8.2,24,94,105507,13,479,54,1852:1,533,58,1725:1,1220,133,754:1,528191,569381,93,203087,260189,78,32666,503962,6.5,170790,41922,4.1,36980,211904,17,514,5.8,14,11,2,1,93820,11,31443,5,10,9,10,34,85040,15,90880,85615,96145,65871,119911,64692,69798,99573,196219,65,33142,11,919324,23.9,11.0,100574,10.9,7765,0.8,93060,10.1,1124,0.1,180550,19.6,521081,56.7,25198,3,50.8,45759,6.9
48123,Texas,DeWitt,38,36,39,4.5,4.6,7.7,35,72,2921,20,11,55,1833:1,5,25,4035:1,4,20,5044:1,11850,14309,83,2070,4854,43,558,9253,6.0,109548,19898,5.5,658,4541,14,34,16.9,13,9,5,1,3010,15,437,2,14,13,14,38,2324,23,53899,44592,63206,131477,,27500,55179,58042,4900,72,800,12,20174,22.5,20.3,1633,8.1,217,1.1,96,0.5,10,0.0,7325,36.3,10892,54.0,285,2,47.6,9973,49.6
48125,Texas,Dickens,39,38,40,4.6,4.6,6.7,34,64,299,22,1,45,2211:1,0,0,2140:0,1,47,2140:1,1301,1623,80,198,528,38,42,671,6.3,93250,14346,6.5,105,453,23,4,18.1,13,9,3,1,400,18,144,6,14,13,14,37,236,24,42034,34830,49238,,,,25833,49934,668,78,88,11,2140,17.1,24.2,96,4.5,49,2.3,28,1.3,2,0.1,660,30.8,1318,61.6,37,2,44.5,2444,100.0
48127,Texas,Dimmit,44,42,46,5.6,4.9,4.2,45,61,1676,20,4,40,2531:1,3,30,3308:1,4,40,2481:1,4377,6460,68,1269,2643,48,413,6487,6.4,83868,9970,8.4,1437,2911,49,7,6.9,19,11,8,1,2100,20,2666,27,20,18,21,38,1380,25,42788,34709,50867,,,,23455,53927,2227,70,589,20,9925,28.1,17.5,115,1.2,98,1.0,79,0.8,2,0.0,8730,88.0,981,9.9,636,7,51.3,3946,39.5
48129,Texas,Donley,36,35,38,4.3,4.9,7.2,30,74,476,21,,,,1,30,3308:1,,,,1974,2206,89,364,646,56,63,1423,4.4,94654,23986,3.9,215,667,32,6,18.3,13,11,2,0,520,16,203,6,11,11,12,37,376,23,57526,52697,62355,,,29643,44250,55061,980,73,142,11,3308,19.9,24.7,202,6.1,38,1.1,23,0.7,2,0.1,387,11.7,2602,78.7,24,1,51.5,3677,100.0
48131,Texas,Duval,43,41,44,4.9,4.5,6.1,40,,1857,22,,,,,,,1,9,11058:1,5027,7136,70,1258,2669,47,589,4864,12.1,87013,16871,5.2,1023,2871,36,4,3.6,20,8,7,5,1930,17,1639,14,18,17,19,38,1544,27,40601,33481,47721,,,,41702,58953,2359,69,206,7,11058,26.0,18.1,117,1.1,114,1.0,56,0.5,13,0.1,9869,89.2,975,8.8,591,6,48.6,7899,67.0
48133,Texas,Eastland,37,36,39,4.6,5.0,6.3,32,45,3274,24,5,27,3672:1,5,27,3678:1,7,38,2627:1,10697,12555,85,2360,3947,60,497,7390,6.7,86924,16186,5.4,615,3846,16,25,13.6,9,6,2,1,3260,18,2023,11,12,11,13,37,2710,28,50317,41888,58746,,,,34792,42150,5388,77,591,9,18388,21.1,22.5,365,2.0,240,1.3,138,0.8,16,0.1,3195,17.4,14329,77.9,527,3,50.0,11214,60.3
48135,Texas,Ector,38,37,40,4.2,4.3,7.9,35,77,32601,22,99,60,1679:1,73,44,2297:1,77,46,2178:1,74089,96782,77,25164,48308,52,9116,82852,11.0,123122,26767,4.6,13187,49059,27,124,7.5,16,10,5,2,18420,12,9847,7,14,13,15,37,25125,26,62669,53537,71801,60238,92727,47329,58139,73010,35106,65,6105,12,167701,30.5,9.7,7626,4.5,2559,1.5,2292,1.4,497,0.3,106292,63.4,49284,29.4,10228,7,48.9,12966,9.5
48137,Texas,Edwards,40,39,41,4.7,4.5,7.2,37,1,350,26,1,52,1932:1,0,0,1923:0,1,52,1923:1,1000,1301,77,203,398,51,44,1251,3.5,74556,21870,3.4,147,414,36,3,15.5,15,9,4,4,250,13,219,11,15,14,16,37,275,29,45330,36786,53874,,,,40675,40179,581,74,48,6,1923,22.3,29.3,9,0.5,51,2.7,19,1.0,0,0.0,1059,55.1,820,42.6,33,2,47.3,2002,100.0
48139,Texas,Ellis,36,35,37,3.8,4.3,7.9,28,67,30187,19,76,41,2432:1,65,34,2950:1,147,77,1304:1,100273,115775,87,29402,46934,63,5641,93578,6.0,138469,36427,3.8,8759,47736,18,158,8.5,13,10,4,1,20050,12,10974,7,11,10,11,35,24215,22,79849,75083,84615,68750,97917,65120,66622,88567,44454,75,5653,10,191760,26.4,13.3,24068,12.6,1691,0.9,1781,0.9,244,0.1,52482,27.4,109848,57.3,5884,4,50.6,47838,32.0
48141,Texas,El Paso,34,33,36,4.4,4.2,7.1,30,80,173169,24,419,50,2003:1,405,48,2077:1,909,108,926:1,405954,514164,79,154825,230108,67,30094,364085,8.3,96802,19350,5.0,68601,227046,30,421,5.0,18,13,5,1,121760,15,73081,9,15,14,16,37,148718,30,48522,45915,51129,45208,58581,54656,44100,66229,170433,62,36665,14,841286,26.5,12.8,26724,3.2,9160,1.1,11972,1.4,1957,0.2,696240,82.8,97545,11.6,106444,14,50.5,17409,2.2
48143,Texas,Erath,37,36,39,4.1,4.6,6.2,29,63,7823,24,24,56,1779:1,24,56,1801:1,46,106,940:1,21413,24555,87,6262,9627,65,1150,20013,5.7,111390,22474,5.0,1653,8677,19,47,11.0,19,16,3,1,6200,15,6864,18,11,11,12,36,6454,26,61453,53860,69046,,74063,,47057,56863,9261,65,2035,15,43224,20.9,14.8,785,1.8,607,1.4,498,1.2,53,0.1,9442,21.8,31730,73.4,1236,3,51.1,17551,46.3
48145,Texas,Falls,41,40,42,5.0,5.2,6.6,37,39,2573,21,2,12,8649:1,5,29,3455:1,3,17,5758:1,9447,12198,77,2002,4165,48,390,6531,6.0,84394,13825,6.1,902,3665,25,23,13.3,18,13,6,2,3310,19,919,5,15,14,15,39,2129,25,44590,36720,52460,,,23150,30372,50049,4197,76,707,14,17275,21.1,18.8,3959,22.9,203,1.2,104,0.6,41,0.2,4283,24.8,8630,50.0,409,3,52.6,12034,67.4
48147,Texas,Fannin,36,34,37,4.2,4.8,6.7,29,28,5675,21,7,20,5073:1,9,25,3990:1,36,100,998:1,21052,24604,86,4098,8639,47,788,16772,4.7,115224,24221,4.8,1226,7417,17,39,11.0,12,9,3,2,5100,15,4408,13,11,10,12,37,4653,24,59746,51740,67752,72344,63264,24643,49196,60773,9205,74,1186,10,35913,21.2,18.7,2219,6.2,459,1.3,287,0.8,29,0.1,4430,12.3,27974,77.9,492,1,46.9,23920,70.5
48149,Texas,Fayette,37,36,39,4.1,4.6,7.7,30,55,4008,22,8,32,3168:1,14,55,1825:1,7,27,3650:1,16458,18468,89,2467,5046,49,555,11793,4.7,109719,25094,4.4,740,5083,15,50,19.7,11,8,2,1,3350,13,1374,6,11,10,12,36,3175,23,63713,55201,72225,,223450,13382,56600,65110,7537,83,762,9,25547,20.2,26.8,1485,5.8,327,1.3,119,0.5,19,0.1,5624,22.0,18023,70.5,478,2,50.9,16485,67.1
48151,Texas,Fisher,38,36,39,4.2,4.6,7.4,31,,555,19,1,26,3830:1,1,26,3784:1,,,,2430,2732,89,575,865,66,72,1605,4.5,104111,23931,4.4,188,820,23,8,20.9,9,5,2,2,600,16,146,4,12,12,13,36,422,21,52828,47812,57844,22778,,,41371,55505,1263,75,78,5,3784,21.4,24.7,136,3.6,45,1.2,20,0.5,0,0.0,1113,29.4,2454,64.9,54,2,49.9,3974,100.0
48153,Texas,Floyd,39,38,40,4.5,4.4,7.9,36,75,1191,26,3,53,1904:1,1,18,5672:1,,,,2843,3783,75,707,1391,51,155,2516,6.2,93014,20651,4.5,370,1554,24,11,19.3,15,8,7,2,760,13,289,4,14,13,15,37,967,31,44256,36258,52254,,,,44715,66172,1631,75,97,5,5672,25.8,20.0,177,3.1,85,1.5,28,0.5,3,0.1,3348,59.0,2068,36.5,267,5,49.8,3437,53.3
48155,Texas,Foard,37,36,39,4.4,4.9,3.9,31,0,191,23,0,0,1155:0,0,0,1135:0,,,,719,885,81,83,155,54,24,576,4.2,90611,20929,4.3,38,215,18,0,0.0,7,3,1,3,180,14,552,41,12,11,13,37,148,24,40955,33319,48591,,,,,,420,83,29,6,1135,18.8,27.8,59,5.2,8,0.7,12,1.1,0,0.0,207,18.2,843,74.3,17,1,53.0,1336,100.0
48157,Texas,Fort Bend,30,29,31,3.1,3.6,8.4,26,90,107300,15,688,85,1180:1,466,55,1802:1,695,83,1208:1,461452,508472,91,165976,216616,77,30538,394948,7.7,179564,45085,4.0,36833,217180,17,379,4.7,14,11,3,1,72370,10,34618,6,11,11,12,35,86838,18,97210,88038,106382,128042,120642,80267,75207,119337,192555,78,27858,11,839706,27.1,12.0,173816,20.7,5167,0.6,180564,21.5,838,0.1,210223,25.0,259942,31.0,37367,5,51.0,32405,5.5
48159,Texas,Franklin,33,32,35,3.7,4.4,6.0,26,20,1434,17,3,28,3575:1,4,37,2705:1,4,37,2705:1,6719,7419,91,1611,2313,70,257,4827,5.3,124489,31696,3.9,244,2569,9,13,12.1,14,10,3,2,1520,14,2204,21,10,9,11,35,1105,19,58927,54672,63182,,,,58577,60725,3285,83,233,6,10821,23.0,22.1,425,3.9,132,1.2,112,1.0,8,0.1,1700,15.7,8350,77.2,223,2,50.3,7331,69.1
48161,Texas,Freestone,38,37,40,4.6,4.9,6.6,33,29,2962,21,6,30,3286:1,6,30,3312:1,3,15,6625:1,11360,13894,82,2815,5129,55,528,6348,8.3,113428,20667,5.5,986,4469,22,22,11.2,13,9,3,2,3430,17,1727,9,13,12,13,38,2355,24,54502,45454,63550,,,32321,52794,62851,5208,77,608,10,19874,22.6,20.8,2959,14.9,283,1.4,187,0.9,13,0.1,3286,16.5,13154,66.2,431,2,47.9,13173,66.5
48163,Texas,Frio,42,40,43,4.9,4.4,6.7,40,86,3265,23,4,20,5077:1,5,25,4076:1,5,25,4076:1,8124,12515,65,1959,6243,31,541,9537,5.7,97353,15207,6.4,1661,4037,41,11,5.4,16,9,8,0,3000,15,2007,12,17,16,18,38,2724,28,47007,39710,54304,,52757,,47821,63056,3123,67,395,10,20379,22.7,12.4,641,3.1,218,1.1,569,2.8,5,0.0,16356,80.3,2743,13.5,2354,13,40.4,3819,22.2
48165,Texas,Gaines,38,37,39,4.7,4.8,8.2,36,45,6949,36,2,9,10746:1,2,9,10998:1,2,9,10998:1,7003,11335,62,1491,5246,28,543,9720,5.6,123952,22966,5.4,1253,7539,17,28,13.0,14,8,6,1,2720,13,241,1,14,13,15,37,4764,40,63528,52540,74516,,,,44974,70897,4248,72,407,8,21996,36.4,8.8,352,1.6,240,1.1,112,0.5,8,0.0,9451,43.0,11880,54.0,1473,8,49.3,11049,63.0
48167,Texas,Galveston,34,33,35,3.8,4.3,7.2,30,87,49934,17,261,76,1311:1,166,48,2079:1,437,127,790:1,203368,227013,90,60393,89651,67,14390,164608,8.7,150999,28223,5.4,20524,81824,25,242,7.1,15,12,3,1,46810,14,25207,9,12,11,13,39,41033,20,78465,73106,83824,61927,100000,45831,60297,86165,84565,68,16457,13,345089,23.9,15.2,43482,12.6,2836,0.8,12205,3.5,340,0.1,88769,25.7,194110,56.2,10580,3,50.9,17915,6.1
48169,Texas,Garza,40,38,42,4.8,4.4,7.3,38,,872,24,1,16,6229:1,2,32,3111:1,,,,2870,4417,65,335,1786,19,137,2020,6.8,91313,16767,5.4,62,782,8,7,11.2,8,5,4,0,940,16,340,5,15,14,16,37,736,27,50934,41780,60088,,,,37212,64611,1171,68,165,10,6222,16.2,11.9,408,6.6,68,1.1,41,0.7,9,0.1,3268,52.5,2420,38.9,1109,19,34.2,1443,22.3
48171,Texas,Gillespie,33,32,35,3.7,4.2,8.0,27,66,4544,24,33,122,818:1,20,74,1348:1,26,96,1037:1,17564,19583,90,2372,4966,48,635,13265,4.8,119352,27311,4.4,1362,5317,26,42,15.6,15,11,4,2,3500,13,778,3,10,10,11,34,3452,26,64365,57117,71613,61429,,,60446,61134,7722,71,1116,11,26960,19.6,30.2,106,0.4,315,1.2,153,0.6,35,0.1,6491,24.1,19904,73.8,1191,5,51.4,13326,53.7
48173,Texas,Glasscock,37,36,38,4.4,4.5,5.0,33,,230,19,0,0,1409:0,0,0,1439:0,,,,648,935,69,164,341,48,29,797,3.6,172500,22159,7.8,77,279,28,0,0.0,10,2,5,3,170,11,447,36,13,12,14,36,163,19,85001,69252,100750,,,,34688,126000,285,66,22,7,1439,24.9,15.8,26,1.8,7,0.5,2,0.1,2,0.1,563,39.1,840,58.4,218,16,44.6,1226,100.0
48175,Texas,Goliad,37,36,38,4.1,4.5,7.2,31,47,982,17,,,,4,52,1907:1,2,26,3813:1,4424,5378,82,986,1505,66,244,3161,7.7,120172,17548,6.8,191,1597,12,7,9.1,8,6,2,1,1020,14,711,10,12,12,13,37,774,18,54970,45051,64889,,,,30407,69635,2284,80,198,8,7626,20.2,24.2,300,3.9,94,1.2,50,0.7,2,0.0,2746,36.0,4412,57.9,205,3,50.5,7210,100.0
48177,Texas,Gonzales,40,38,41,4.6,4.6,6.4,37,39,4266,25,8,38,2605:1,8,38,2619:1,8,38,2619:1,10250,13459,76,1573,4816,33,515,9561,5.4,106401,23132,4.6,1475,5621,26,25,12.0,17,7,10,2,2850,14,3462,17,14,14,15,38,3454,30,55363,47441,63285,,,38750,60424,59536,5230,70,550,8,20948,26.7,17.6,1236,5.9,364,1.7,127,0.6,33,0.2,10850,51.8,8518,40.7,1393,7,49.6,12930,65.3
48179,Texas,Gray,38,36,39,4.7,4.8,6.9,34,88,3922,24,10,46,2189:1,11,51,1969:1,5,23,4332:1,11652,14615,80,2706,5995,45,633,7783,8.1,104120,22397,4.6,1005,5593,18,33,15.1,14,10,3,2,3520,16,1914,8,13,13,14,38,3152,29,54141,46153,62129,29476,,35348,52821,58930,5684,72,716,10,21658,24.9,16.6,1096,5.1,380,1.8,169,0.8,2,0.0,6538,30.2,13345,61.6,981,5,46.0,4369,19.4
48181,Texas,Grayson,36,34,37,4.2,4.8,7.1,28,69,24027,22,62,46,2197:1,82,59,1687:1,196,142,706:1,80794,90127,90,18816,31620,60,3761,64214,5.9,107549,25847,4.2,7634,31659,24,146,10.7,14,11,3,1,20780,16,7128,6,11,10,12,36,19578,25,59554,55980,63128,48100,60391,33328,53190,61248,33648,68,5236,11,138318,23.6,18.4,8095,5.9,2614,1.9,2075,1.5,117,0.1,19853,14.4,102964,74.4,2189,2,51.3,52159,43.2
48183,Texas,Gregg,39,38,41,4.5,4.9,6.6,32,82,22634,22,107,86,1158:1,122,98,1018:1,227,183,547:1,67844,80195,85,18164,31964,57,4682,56565,8.3,103887,23371,4.4,9310,31815,29,176,14.2,16,13,3,1,20510,17,12122,10,13,12,14,39,18509,26,51394,45632,57156,,56667,34415,44901,60716,27354,59,5740,13,124229,25.6,16.0,25366,20.4,1268,1.0,1736,1.4,131,0.1,24018,19.3,70383,56.7,4058,4,51.3,16266,13.4
48185,Texas,Grimes,38,37,39,4.6,4.8,6.7,34,39,4771,23,8,28,3610:1,6,20,4936:1,4,14,7404:1,15916,19591,81,3166,6828,46,891,11082,8.0,112426,24974,4.5,1860,6340,29,20,6.9,13,8,4,2,4210,15,3246,12,14,13,14,38,3783,25,57795,48478,67112,,,32093,51858,69167,6999,76,665,8,29614,21.9,18.6,4284,14.5,282,1.0,130,0.4,36,0.1,7246,24.5,17430,58.9,760,3,45.6,18331,68.9
48187,Texas,Guadalupe,37,35,38,3.7,4.1,7.5,28,69,22560,16,50,30,3337:1,64,38,2666:1,63,37,2708:1,95736,107800,89,25333,44201,57,4933,80610,6.1,133220,36609,3.6,9064,40761,22,84,5.0,12,9,3,1,17550,11,16284,12,12,11,12,37,18247,18,78909,70839,86979,50150,90448,72264,62945,82033,43073,77,4502,8,170608,24.5,14.6,13496,7.9,1750,1.0,3516,2.1,458,0.3,66177,38.8,83312,48.8,3616,2,50.5,34412,26.2
48189,Texas,Hale,39,37,41,4.4,4.4,7.3,35,73,6257,24,11,33,3037:1,6,18,5459:1,43,131,762:1,15423,20582,75,3961,8560,46,799,11826,6.8,87703,19784,4.4,2865,9060,32,49,14.7,17,10,6,2,4730,14,2955,8,14,13,15,36,5057,29,46589,38983,54195,,,,47500,50202,6890,63,1193,12,32754,26.6,13.9,1600,4.9,595,1.8,215,0.7,65,0.2,19976,61.0,10567,32.3,1940,6,47.9,8379,23.1
48191,Texas,Hall,42,40,43,5.1,5.0,5.8,38,29,668,30,,,,0,0,2939:0,,,,1687,2081,81,322,606,53,62,1076,5.8,82615,19333,4.3,214,681,31,3,10.1,12,8,3,1,580,19,436,13,15,15,16,39,570,36,36654,30041,43267,,,20714,22344,45595,858,69,64,6,2939,21.0,25.3,239,8.1,41,1.4,14,0.5,3,0.1,1007,34.3,1639,55.8,145,5,50.3,3353,100.0
48193,Texas,Hamilton,36,35,38,4.4,4.9,6.3,31,26,1550,25,8,95,1058:1,5,58,1711:1,7,82,1222:1,5193,5962,87,830,1731,48,170,3759,4.5,96772,20799,4.7,383,1756,22,14,16.5,16,9,3,4,1430,17,1041,12,11,11,12,37,1210,27,52840,42997,62683,,,,32412,48139,2518,84,223,8,8557,21.3,25.7,69,0.8,168,2.0,74,0.9,6,0.1,1168,13.6,7125,83.3,250,3,50.3,5483,64.4
48195,Texas,Hansford,40,38,42,5.0,4.8,7.5,37,62,1348,30,3,56,1800:1,1,19,5279:1,2,38,2640:1,2393,3348,71,676,1326,51,87,2502,3.5,99417,25602,3.9,273,1607,17,9,16.7,12,7,5,0,840,15,204,4,15,14,16,37,971,33,61059,49786,72332,,,,31316,58571,1428,77,143,8,5279,29.3,15.6,38,0.7,100,1.9,25,0.5,3,0.1,2575,48.8,2573,48.7,573,11,49.4,2264,40.3
48197,Texas,Hardeman,38,37,40,4.6,4.9,6.8,33,5,801,27,5,127,787:1,4,100,1003:1,4,100,1003:1,2345,2879,81,485,929,52,75,1710,4.4,97860,20659,4.7,198,790,25,4,10.2,9,5,2,2,660,17,323,8,12,12,13,37,646,30,63479,58027,68931,53889,,21161,44545,51836,1159,69,81,5,4011,21.4,23.0,195,4.9,55,1.4,27,0.7,0,0.0,1009,25.2,2679,66.8,184,5,50.2,4139,100.0
48199,Texas,Hardin,36,34,37,4.1,4.9,6.9,30,52,7772,16,12,21,4800:1,18,31,3239:1,26,45,2243:1,34481,38859,89,8422,14577,58,2251,25019,9.0,120479,24159,5.0,3405,14120,24,70,12.2,12,9,2,2,8850,16,5032,9,10,10,11,37,6251,18,69151,58680,79622,,81154,42232,55432,62254,17197,81,1926,9,58305,24.4,17.5,3119,5.3,389,0.7,469,0.8,16,0.0,3764,6.5,49932,85.6,312,1,50.9,28163,51.5
48201,Texas,Harris,35,33,36,4.0,4.2,7.6,28,90,998337,24,2788,59,1691:1,3392,72,1397:1,6479,137,731:1,2451797,2995908,82,886923,1422725,62,204310,2292759,8.9,130585,26786,4.9,347248,1247584,28,2605,5.5,20,15,6,1,644710,14,236351,6,13,13,14,38,827542,28,61906,60349,63463,53354,80847,46702,51971,91233,897913,55,250687,16,4738253,26.3,11.2,901646,19.0,52703,1.1,353338,7.5,5552,0.1,2077130,43.8,1339331,28.3,477612,11,50.4,49653,1.2
48203,Texas,Harrison,37,35,38,4.4,4.9,7.3,31,58,10752,20,20,30,3328:1,17,26,3905:1,29,44,2289:1,38258,44280,86,9261,16148,57,2290,29133,7.9,100583,21897,4.6,5614,16608,34,70,10.5,14,11,4,1,10430,16,3174,5,12,12,13,38,8752,23,55198,48847,61549,109044,,31468,56292,63099,17460,73,2593,11,66386,24.7,18.0,13537,20.4,851,1.3,510,0.8,79,0.1,9250,13.9,41735,62.9,1236,2,51.1,36789,56.1
48205,Texas,Hartley,35,33,36,3.7,4.1,7.4,29,74,837,23,,,,,,,1,18,5443:1,3473,4127,84,783,2036,38,54,2633,2.1,116910,33920,3.4,187,1200,16,7,12.6,9,5,4,2,670,12,699,12,11,10,12,36,591,24,74686,60469,88903,,,,54135,55921,1104,65,159,10,5443,21.1,15.5,361,6.6,42,0.8,46,0.8,2,0.0,1508,27.7,3460,63.6,139,3,39.5,3471,57.3
48207,Texas,Haskell,40,39,42,5.2,5.2,6.1,38,54,1042,27,3,53,1886:1,2,35,2877:1,4,70,1439:1,2960,3993,74,596,1284,46,114,2653,4.3,89417,19241,4.6,317,1056,30,9,15.9,10,7,3,1,1040,18,675,11,15,14,15,37,889,30,44847,37582,52112,,,,31298,53655,1551,72,173,8,5754,17.3,22.9,228,4.0,64,1.1,53,0.9,0,0.0,1658,28.8,3685,64.0,322,6,47.2,2809,47.6
48209,Texas,Hays,33,32,35,3.7,4.1,8.3,26,79,32880,17,98,43,2349:1,93,39,2595:1,262,109,921:1,121470,134420,90,42096,61622,68,7665,121304,6.3,135737,30430,4.5,8654,51064,17,137,6.0,19,16,4,1,25610,12,3848,2,11,11,12,36,27114,19,77511,68874,86148,86755,62904,66767,57952,76869,47715,62,12350,17,241365,22.8,11.7,9465,3.9,3077,1.3,4492,1.9,359,0.1,97306,40.3,125603,52.0,7029,3,50.4,49822,31.7
