FIPS,State,County,Len_Life_Rank,perc_Adults_Obesity,95_Cl_low_obs,95_Cl_high_obs,Avg_num_Physical_Unhealthy_Days,Avg_num_Mental_Unhealthy_Days,Food_Environment_Index,perc_Physically_Inactive,perc_With_Access_Exercise,num_Uninsured,perc_Uninsured,num_Primary_Care_Physicians,Primary_Care_Physicians_Rate,Primary_Care_Physicians_Ratio,num_Dentists,Dentist_Rate,Dentist_Ratio,num_Mental_Health_Providers,Mental_Health_Provider_Rate,Mental_Health_Provider_Ratio,num_Completed_High_School,Population_Age25,perc_Completed_HighSchool,num_Some_College,Population_25_Age_44,perc_Some_college,num_UnemployedAge16,LaborForce_Size,perc_Unemployed,80th_Percentile_Income,20th_Percentile_Income,Income_Ratio,num_Children_SingleParent_Households,num_Children_Overall_Households,perc_Children_SingleParent_Households,num_Associations,Social_Association_Rate,perc_Severe_Housing_Problems,Severe_Housing_Cost_Burdenperc,Overcrowdingperc,Inadequate_Facilitiesperc,num_Food_Insecure,perc_Food_Insecure,num_LimitedAccess_healthyFood,perc_LimitedAccess_HealthyFoods,perc_Adults_Diabetes,95_CI_Low_Adults_Diabetes,95_CI_High_Adults_Diabetes,perc_Insufficient_Sleep,num_Uninsured,perc_Uninsured,Median_Household_Income,95_CI_Low_Median_Household_Income,95_CI_High_Median_Household_Income,Household_Income_NativeAmerican,Household_Income_Asian,Household_Income_Black,Household_Income_Hispanic,Household_Income_white,num_Homeowners,perc_Homeowners,num_Household_Severe_Cost_Burden,perc_Severe_Housing_Cost_Burden,Population,perc_greater18Age,perc65greaterAge,numBlack,percBlack,numNativeAmerican,percNativeAmerican,numAsian,percAsian,numNativeHawaiianPacificIslander,percNativeHawaiianPacificIslander,numHispanic,percHispanic, numNonHispanic_white,percNonHispanic_white,numNotProficient_English,percNotProficient_English,percfemale,numrural_residents,percrural,Qual_Life_Rank,Health_Beh_Rank,Clinical_Care_Rank,Social_Econ_Rank,Phys_Env_Rank
48039,Texas,Brazoria,16,39,37,40,3.6,4,8,29,79,52277,16,240,64,1559:01:00,209,55,1821:01:00,306,80,1244:01:00,214038,240923,89,71432,105953,67,15267,177709,8.6,153477,36375,4.2,18148,96666,19,244,6.5,13,9,4,1,41090,11,20853,7,12,11,13,37,42806,19,83576,78214,88938,56390,98348,90435,73743,86236,91024,73,11556,10,380518,25.9,12.5,56616,14.9,3366,0.9,27441,7.2,400,0.1,121130,31.8,168420,44.3,11027,3,49.5,70552,22.5,29,33,36,40,230
48041,Texas,Brazos,10,34,33,35,4.1,4.4,6.6,28,89,33871,18,195,85,1175:01:00,127,55,1831:01:00,264,114,881:01:00,107359,121611,88,43939,61535,71,6233,116599,5.3,110939,18366,6,13928,46475,30,181,7.9,25,22,3,1,34500,16,24093,12,13,12,13,35,28997,20,53570,47492,59648,78409,49107,35710,41670,59400,38290,47,17693,23,232555,20.6,9.9,25085,10.8,1626,0.7,14200,6.1,282,0.1,61658,26.5,127386,54.8,8255,4,49.7,23506,12.1,65,21,10,50,165
48043,Texas,Brewster,88,36,34,37,3.8,4,6.2,29,64,1462,21,8,87,1150:01:00,3,32,3079:01:00,12,130,770:01:00,5818,6850,85,1524,2393,64,272,4083,6.7,94835,15127,6.3,226,1772,13,13,14.1,17,11,3,4,1440,16,1507,16,12,11,13,35,1232,23,48537,39271,57803,,39600,,42198,47321,2507,58,660,17,9237,18.4,24.1,136,1.5,169,1.8,172,1.9,13,0.1,4156,45,4602,49.8,266,3,48.9,3219,34.9,2,12,88,80,4
48045,Texas,Briscoe,102,40,38,41,4.7,4.9,2.9,34,29,274,24,1,65,1546:01:00,0,0,1487:00:00,,,,869,1017,85,144,322,45,27,567,4.8,90583,18644,4.9,35,225,16,3,19.4,8,5,2,1,230,16,793,48,13,12,14,37,213,25,50062,40791,59333,,,,34583,49722,420,71,83,15,1487,20.7,26,52,3.5,13,0.9,4,0.3,0,0,373,25.1,1017,68.4,57,4,49.8,1637,100,168,215,77,89,20
48047,Texas,Brooks,243,44,42,46,5.5,4.8,5.5,44,35,1048,19,,,,1,14,6964:01:00,2,29,3482:01:00,2991,4460,67,726,1809,40,278,2601,10.7,65132,7572,8.6,689,1662,41,4,5.6,25,17,6,2,1570,22,733,10,20,18,21,38,897,24,33513,27166,39860,,,,24023,30164,1487,60,313,15,6964,27.8,18.6,44,0.6,54,0.8,84,1.2,3,0,6343,91.1,471,6.8,563,8,49,2294,31.8,238,230,195,243,234
48049,Texas,Brown,170,36,35,37,4.2,4.7,6.6,30,49,5812,20,22,58,1721:01:00,16,43,2352:01:00,71,189,530:01:00,22773,26168,87,4705,8826,53,992,15245,6.5,97711,22139,4.4,1941,8082,24,65,17.2,11,9,2,1,5670,15,5062,13,12,11,12,36,4805,23,48752,42609,54895,,,,40837,51050,10449,71,1206,9,37633,20.9,21,1377,3.7,382,1,291,0.8,32,0.1,8691,23.1,26572,70.6,682,2,50.5,15395,40.4,114,91,30,90,45
48051,Texas,Burleson,145,36,35,37,4.2,4.6,7.6,31,38,2943,20,8,43,2305:01:00,1,5,18514:1,1,5,18514:1,10672,12685,84,1984,3845,52,519,8180,6.3,115686,30251,3.8,538,4002,13,20,10.8,13,8,5,1,2470,14,923,5,12,11,12,37,2376,23,64836,57552,72120,,,30750,52813,71776,5386,78,516,8,18514,21.6,21.7,2213,12,217,1.2,99,0.5,7,0,3957,21.4,11911,64.3,599,3,50.6,13175,76.7,153,123,63,72,178
48053,Texas,Burnet,39,37,35,38,3.9,4.4,7.5,29,51,7566,21,19,39,2534:01:00,23,46,2159:01:00,35,70,1419:01:00,29779,33684,88,4914,10041,49,1119,23686,4.7,116108,32076,3.6,1733,9980,17,58,12,14,9,3,3,6430,14,2905,7,11,10,11,35,6204,24,63813,53386,74240,53365,,50492,47979,62810,13704,79,1620,10,49653,20.7,23.3,840,1.7,635,1.3,482,1,46,0.1,11148,22.5,36366,73.2,1189,3,51.1,23800,55.7,33,52,41,34,133
48055,Texas,Caldwell,81,39,37,40,4.6,4.6,7.3,36,45,9102,26,12,27,3639:01:00,13,30,3383:01:00,35,80,1257:01:00,22023,27627,80,4557,10967,42,1226,19322,6.3,105089,25485,4.1,2340,9778,24,39,8.9,20,13,7,1,6230,15,2620,7,15,14,15,37,7718,30,66128,58953,73303,,,50718,58709,61949,9474,69,1701,13,43979,22.8,15.2,2446,5.6,759,1.7,471,1.1,49,0.1,23970,54.5,16539,37.6,2399,6,49.3,16099,42.3,178,120,198,121,239
48057,Texas,Calhoun,68,40,38,41,4.4,4.4,5.3,36,54,3480,20,11,52,1935:01:00,10,48,2100:01:00,5,24,4200:01:00,11598,14334,81,2532,5093,50,699,11995,5.8,104148,28480,3.7,1267,5197,24,21,9.9,18,8,8,2,3050,14,6054,28,14,13,15,37,2807,23,58470,48317,68623,,104583,,48172,63318,5917,74,424,6,21001,23.8,18.9,485,2.3,182,0.9,1165,5.5,13,0.1,10451,49.8,8682,41.3,1133,6,48.7,9564,44.7,70,187,171,113,209
48059,Texas,Callahan,162,36,35,38,4.1,4.8,7,28,42,2016,18,1,7,13943:1,4,28,3528:01:00,2,14,7055:01:00,8839,9976,89,1810,3176,57,325,5979,5.4,95485,24310,3.9,639,3062,21,15,10.8,13,10,2,1,2080,15,1222,9,10,10,11,36,1677,21,54862,46487,63237,,,35396,43077,52321,4481,83,315,6,14110,21.2,21.8,209,1.5,127,0.9,98,0.7,13,0.1,1422,10.1,12060,85.5,127,1,50.7,9776,72.2,213,77,123,47,127
48061,Texas,Cameron,41,42,41,44,5.2,4.6,5.6,38,66,109621,31,210,50,2015:01:00,137,32,3096:01:00,301,71,1409:01:00,170501,248705,69,50350,103368,49,17219,169074,10.2,85416,16089,5.3,43250,127450,34,209,4.9,23,14,11,1,73730,18,72825,18,18,17,20,39,93505,40,44440,41059,47821,29192,89886,50337,39019,57232,84054,66,16766,14,424180,29.5,14.2,1735,0.4,2865,0.7,3408,0.8,326,0.1,382150,90.1,35937,8.5,62153,16,51.1,34207,8.4,208,160,214,233,242
