FIPS,State,County,Len_Life_Rank,perc_Adults_Obesity,95_Cl_low_obs,95_Cl_high_obs,Avg_num_Physical_Unhealthy_Days,Avg_num_Mental_Unhealthy_Days,Food_Environment_Index,perc_Physically_Inactive,perc_With_Access_Exercise,num_Uninsured,perc_Uninsured,num_Primary_Care_Physicians,Primary_Care_Physicians_Rate,Primary_Care_Physicians_Ratio,num_Dentists,Dentist_Rate,Dentist_Ratio,num_Mental_Health_Providers,Mental_Health_Provider_Rate,Mental_Health_Provider_Ratio,num_Completed_High_School,Population_Age25,perc_Completed_HighSchool,num_Some_College,Population_25_Age_44,perc_Some_college,num_UnemployedAge16,LaborForce_Size,perc_Unemployed,80th_Percentile_Income,20th_Percentile_Income,Income_Ratio,num_Children_SingleParent_Households,num_Children_Overall_Households,perc_Children_SingleParent_Households,num_Associations,Social_Association_Rate,perc_Severe_Housing_Problems,Severe_Housing_Cost_Burdenperc,Overcrowdingperc,Inadequate_Facilitiesperc,num_Food_Insecure,perc_Food_Insecure,num_LimitedAccess_healthyFood,perc_LimitedAccess_HealthyFoods,perc_Adults_Diabetes,95_CI_Low_Adults_Diabetes,95_CI_High_Adults_Diabetes,perc_Insufficient_Sleep,num_Uninsured,perc_Uninsured,Median_Household_Income,95_CI_Low_Median_Household_Income,95_CI_High_Median_Household_Income,Household_Income_NativeAmerican,Household_Income_Asian,Household_Income_Black,Household_Income_Hispanic,Household_Income_white,num_Homeowners,perc_Homeowners,num_Household_Severe_Cost_Burden,perc_Severe_Housing_Cost_Burden,Population,perc_greater18Age,perc65greaterAge,numBlack,percBlack,numNativeAmerican,percNativeAmerican,numAsian,percAsian,numNativeHawaiianPacificIslander,percNativeHawaiianPacificIslander,numHispanic,percHispanic, numNonHispanic_white,percNonHispanic_white,numNotProficient_English,percNotProficient_English,percfemale,numrural_residents,percrural,Qual_Life_Rank,Health_Beh_Rank,Clinical_Care_Rank,Social_Econ_Rank,Phys_Env_Rank
48167,Texas,Galveston,52,34,33,35,3.8,4.3,7.2,30,87,49934,17,261,76,1311:01:00,166,48,2079:01:00,437,127,790:01:00,203368,227013,90,60393,89651,67,14390,164608,8.7,150999,28223,5.4,20524,81824,25,242,7.1,15,12,3,1,46810,14,25207,9,12,11,13,39,41033,20,78465,73106,83824,61927,100000,45831,60297,86165,84565,68,16457,13,345089,23.9,15.2,43482,12.6,2836,0.8,12205,3.5,340,0.1,88769,25.7,194110,56.2,10580,3,50.9,17915,6.1,50,61,43,97,132
48169,Texas,Garza,11,40,38,42,4.8,4.4,7.3,38,,872,24,1,16,6229:01:00,2,32,3111:01:00,,,,2870,4417,65,335,1786,19,137,2020,6.8,91313,16767,5.4,62,782,8,7,11.2,8,5,4,0,940,16,340,5,15,14,16,37,736,27,50934,41780,60088,,,,37212,64611,1171,68,165,10,6222,16.2,11.9,408,6.6,68,1.1,41,0.7,9,0.1,3268,52.5,2420,38.9,1109,19,34.2,1443,22.3,184,185,218,201,30
48171,Texas,Gillespie,17,33,32,35,3.7,4.2,8,27,66,4544,24,33,122,818:01:00,20,74,1348:01:00,26,96,1037:01:00,17564,19583,90,2372,4966,48,635,13265,4.8,119352,27311,4.4,1362,5317,26,42,15.6,15,11,4,2,3500,13,778,3,10,10,11,34,3452,26,64365,57117,71613,61429,,,60446,61134,7722,71,1116,11,26960,19.6,30.2,106,0.4,315,1.2,153,0.6,35,0.1,6491,24.1,19904,73.8,1191,5,51.4,13326,53.7,35,13,5,30,103
48173,Texas,Glasscock,NR,37,36,38,4.4,4.5,5,33,,230,19,0,0,1409:00:00,0,0,1439:00:00,,,,648,935,69,164,341,48,29,797,3.6,172500,22159,7.8,77,279,28,0,0,10,2,5,3,170,11,447,36,13,12,14,36,163,19,85001,69252,100750,,,,34688,126000,285,66,22,7,1439,24.9,15.8,26,1.8,7,0.5,2,0.1,2,0.1,563,39.1,840,58.4,218,16,44.6,1226,100,NR,NR,NR,NR,NR
48175,Texas,Goliad,44,37,36,38,4.1,4.5,7.2,31,47,982,17,,,,4,52,1907:01:00,2,26,3813:01:00,4424,5378,82,986,1505,66,244,3161,7.7,120172,17548,6.8,191,1597,12,7,9.1,8,6,2,1,1020,14,711,10,12,12,13,37,774,18,54970,45051,64889,,,,30407,69635,2284,80,198,8,7626,20.2,24.2,300,3.9,94,1.2,50,0.7,2,0,2746,36,4412,57.9,205,3,50.5,7210,100,76,42,64,129,77
48177,Texas,Gonzales,61,40,38,41,4.6,4.6,6.4,37,39,4266,25,8,38,2605:01:00,8,38,2619:01:00,8,38,2619:01:00,10250,13459,76,1573,4816,33,515,9561,5.4,106401,23132,4.6,1475,5621,26,25,12,17,7,10,2,2850,14,3462,17,14,14,15,38,3454,30,55363,47441,63285,,,38750,60424,59536,5230,70,550,8,20948,26.7,17.6,1236,5.9,364,1.7,127,0.6,33,0.2,10850,51.8,8518,40.7,1393,7,49.6,12930,65.3,177,171,182,182,128
48179,Texas,Gray,182,38,36,39,4.7,4.8,6.9,34,88,3922,24,10,46,2189:01:00,11,51,1969:01:00,5,23,4332:01:00,11652,14615,80,2706,5995,45,633,7783,8.1,104120,22397,4.6,1005,5593,18,33,15.1,14,10,3,2,3520,16,1914,8,13,13,14,38,3152,29,54141,46153,62129,29476,,35348,52821,58930,5684,72,716,10,21658,24.9,16.6,1096,5.1,380,1.8,169,0.8,2,0,6538,30.2,13345,61.6,981,5,46,4369,19.4,123,158,143,157,35
48181,Texas,Grayson,99,36,34,37,4.2,4.8,7.1,28,69,24027,22,62,46,2197:01:00,82,59,1687:01:00,196,142,706:01:00,80794,90127,90,18816,31620,60,3761,64214,5.9,107549,25847,4.2,7634,31659,24,146,10.7,14,11,3,1,20780,16,7128,6,11,10,12,36,19578,25,59554,55980,63128,48100,60391,33328,53190,61248,33648,68,5236,11,138318,23.6,18.4,8095,5.9,2614,1.9,2075,1.5,117,0.1,19853,14.4,102964,74.4,2189,2,51.3,52159,43.2,85,94,113,57,181
48183,Texas,Gregg,176,39,38,41,4.5,4.9,6.6,32,82,22634,22,107,86,1158:01:00,122,98,1018:01:00,227,183,547:01:00,67844,80195,85,18164,31964,57,4682,56565,8.3,103887,23371,4.4,9310,31815,29,176,14.2,16,13,3,1,20510,17,12122,10,13,12,14,39,18509,26,51394,45632,57156,,56667,34415,44901,60716,27354,59,5740,13,124229,25.6,16,25366,20.4,1268,1,1736,1.4,131,0.1,24018,19.3,70383,56.7,4058,4,51.3,16266,13.4,175,170,34,167,217
48185,Texas,Grimes,82,38,37,39,4.6,4.8,6.7,34,39,4771,23,8,28,3610:01:00,6,20,4936:01:00,4,14,7404:01:00,15916,19591,81,3166,6828,46,891,11082,8,112426,24974,4.5,1860,6340,29,20,6.9,13,8,4,2,4210,15,3246,12,14,13,14,38,3783,25,57795,48478,67112,,,32093,51858,69167,6999,76,665,8,29614,21.9,18.6,4284,14.5,282,1,130,0.4,36,0.1,7246,24.5,17430,58.9,760,3,45.6,18331,68.9,194,198,131,181,190
48187,Texas,Guadalupe,18,37,35,38,3.7,4.1,7.5,28,69,22560,16,50,30,3337:01:00,64,38,2666:01:00,63,37,2708:01:00,95736,107800,89,25333,44201,57,4933,80610,6.1,133220,36609,3.6,9064,40761,22,84,5,12,9,3,1,17550,11,16284,12,12,11,12,37,18247,18,78909,70839,86979,50150,90448,72264,62945,82033,43073,77,4502,8,170608,24.5,14.6,13496,7.9,1750,1,3516,2.1,458,0.3,66177,38.8,83312,48.8,3616,2,50.5,34412,26.2,34,20,39,27,198
48189,Texas,Hale,148,39,37,41,4.4,4.4,7.3,35,73,6257,24,11,33,3037:01:00,6,18,5459:01:00,43,131,762:01:00,15423,20582,75,3961,8560,46,799,11826,6.8,87703,19784,4.4,2865,9060,32,49,14.7,17,10,6,2,4730,14,2955,8,14,13,15,36,5057,29,46589,38983,54195,,,,47500,50202,6890,63,1193,12,32754,26.6,13.9,1600,4.9,595,1.8,215,0.7,65,0.2,19976,61,10567,32.3,1940,6,47.9,8379,23.1,139,90,150,160,76
48191,Texas,Hall,102,42,40,43,5.1,5,5.8,38,29,668,30,,,,0,0,2939:00:00,,,,1687,2081,81,322,606,53,62,1076,5.8,82615,19333,4.3,214,681,31,3,10.1,12,8,3,1,580,19,436,13,15,15,16,39,570,36,36654,30041,43267,,,20714,22344,45595,858,69,64,6,2939,21,25.3,239,8.1,41,1.4,14,0.5,3,0.1,1007,34.3,1639,55.8,145,5,50.3,3353,100,240,203,216,188,54
48193,Texas,Hamilton,235,36,35,38,4.4,4.9,6.3,31,26,1550,25,8,95,1058:01:00,5,58,1711:01:00,7,82,1222:01:00,5193,5962,87,830,1731,48,170,3759,4.5,96772,20799,4.7,383,1756,22,14,16.5,16,9,3,4,1430,17,1041,12,11,11,12,37,1210,27,52840,42997,62683,,,,32412,48139,2518,84,223,8,8557,21.3,25.7,69,0.8,168,2,74,0.9,6,0.1,1168,13.6,7125,83.3,250,3,50.3,5483,64.4,138,132,133,61,59
48195,Texas,Hansford,9,40,38,42,5,4.8,7.5,37,62,1348,30,3,56,1800:01:00,1,19,5279:01:00,2,38,2640:01:00,2393,3348,71,676,1326,51,87,2502,3.5,99417,25602,3.9,273,1607,17,9,16.7,12,7,5,0,840,15,204,4,15,14,16,37,971,33,61059,49786,72332,,,,31316,58571,1428,77,143,8,5279,29.3,15.6,38,0.7,100,1.9,25,0.5,3,0.1,2575,48.8,2573,48.7,573,11,49.4,2264,40.3,146,125,79,38,48
48197,Texas,Hardeman,184,38,37,40,4.6,4.9,6.8,33,5,801,27,5,127,787:01:00,4,100,1003:01:00,4,100,1003:01:00,2345,2879,81,485,929,52,75,1710,4.4,97860,20659,4.7,198,790,25,4,10.2,9,5,2,2,660,17,323,8,12,12,13,37,646,30,63479,58027,68931,53889,,21161,44545,51836,1159,69,81,5,4011,21.4,23,195,4.9,55,1.4,27,0.7,0,0,1009,25.2,2679,66.8,184,5,50.2,4139,100,25,210,127,95,52
48199,Texas,Hardin,174,36,34,37,4.1,4.9,6.9,30,52,7772,16,12,21,4800:01:00,18,31,3239:01:00,26,45,2243:01:00,34481,38859,89,8422,14577,58,2251,25019,9,120479,24159,5,3405,14120,24,70,12.2,12,9,2,2,8850,16,5032,9,10,10,11,37,6251,18,69151,58680,79622,,81154,42232,55432,62254,17197,81,1926,9,58305,24.4,17.5,3119,5.3,389,0.7,469,0.8,16,0,3764,6.5,49932,85.6,312,1,50.9,28163,51.5,151,131,71,96,158
48201,Texas,Harris,28,35,33,36,4,4.2,7.6,28,90,998337,24,2788,59,1691:01:00,3392,72,1397:01:00,6479,137,731:01:00,2451797,2995908,82,886923,1422725,62,204310,2292759,8.9,130585,26786,4.9,347248,1247584,28,2605,5.5,20,15,6,1,644710,14,236351,6,13,13,14,38,827542,28,61906,60349,63463,53354,80847,46702,51971,91233,897913,55,250687,16,4738253,26.3,11.2,901646,19,52703,1.1,353338,7.5,5552,0.1,2077130,43.8,1339331,28.3,477612,11,50.4,49653,1.2,78,26,76,193,238
48203,Texas,Harrison,189,37,35,38,4.4,4.9,7.3,31,58,10752,20,20,30,3328:01:00,17,26,3905:01:00,29,44,2289:01:00,38258,44280,86,9261,16148,57,2290,29133,7.9,100583,21897,4.6,5614,16608,34,70,10.5,14,11,4,1,10430,16,3174,5,12,12,13,38,8752,23,55198,48847,61549,109044,,31468,56292,63099,17460,73,2593,11,66386,24.7,18,13537,20.4,851,1.3,510,0.8,79,0.1,9250,13.9,41735,62.9,1236,2,51.1,36789,56.1,163,146,92,144,163
48205,Texas,Hartley,102,35,33,36,3.7,4.1,7.4,29,74,837,23,,,,,,,1,18,5443:01:00,3473,4127,84,783,2036,38,54,2633,2.1,116910,33920,3.4,187,1200,16,7,12.6,9,5,4,2,670,12,699,12,11,10,12,36,591,24,74686,60469,88903,,,,54135,55921,1104,65,159,10,5443,21.1,15.5,361,6.6,42,0.8,46,0.8,2,0,1508,27.7,3460,63.6,139,3,39.5,3471,57.3,14,38,109,10,18
48207,Texas,Haskell,54,40,39,42,5.2,5.2,6.1,38,54,1042,27,3,53,1886:01:00,2,35,2877:01:00,4,70,1439:01:00,2960,3993,74,596,1284,46,114,2653,4.3,89417,19241,4.6,317,1056,30,9,15.9,10,7,3,1,1040,18,675,11,15,14,15,37,889,30,44847,37582,52112,,,,31298,53655,1551,72,173,8,5754,17.3,22.9,228,4,64,1.1,53,0.9,0,0,1658,28.8,3685,64,322,6,47.2,2809,47.6,236,233,174,126,53
48209,Texas,Hays,7,33,32,35,3.7,4.1,8.3,26,79,32880,17,98,43,2349:01:00,93,39,2595:01:00,262,109,921:01:00,121470,134420,90,42096,61622,68,7665,121304,6.3,135737,30430,4.5,8654,51064,17,137,6,19,16,4,1,25610,12,3848,2,11,11,12,36,27114,19,77511,68874,86148,86755,62904,66767,57952,76869,47715,62,12350,17,241365,22.8,11.7,9465,3.9,3077,1.3,4492,1.9,359,0.1,97306,40.3,125603,52,7029,3,50.4,49822,31.7,17,9,27,18,227
48211,Texas,Hemphill,15,35,34,37,3.9,4.3,8.2,29,84,748,23,4,105,955:01:00,0,0,3777:00:00,1,26,3777:01:00,1980,2407,82,435,854,51,82,1850,4.4,122786,26197,4.7,141,1133,12,7,18.3,12,9,7,0,480,12,106,3,11,10,11,36,510,25,65718,53394,78042,,,,43148,67284,915,67,125,10,3777,30.1,16,14,0.4,59,1.6,55,1.5,6,0.2,1326,35.1,2327,61.6,303,8,50.2,1026,27,3,32,96,35,1
48213,Texas,Henderson,209,36,35,37,4.6,5.1,6.7,33,55,14596,23,25,30,3309:01:00,27,32,3103:01:00,50,60,1676:01:00,49227,57974,85,8905,17710,50,2377,37123,6.4,99194,20265,4.9,3771,17462,22,89,10.8,13,10,3,2,13820,17,6556,8,12,11,13,38,12311,27,52660,46102,59218,46121,59761,31422,43149,52379,24118,76,3521,12,83792,21.2,22.7,5103,6.1,822,1,572,0.7,84,0.1,11550,13.8,64734,77.3,1319,2,51,47206,60.1,148,193,105,135,189
48215,Texas,Hidalgo,27,48,47,50,5.2,4.6,5.3,37,62,248170,33,402,46,2161:01:00,247,28,3543:01:00,617,70,1418:01:00,325021,485614,67,114075,224771,51,41893,359969,11.6,91249,16349,5.6,87221,280703,31,301,3.5,25,14,12,2,153810,18,157181,20,18,17,19,35,209314,43,46653,43073,50233,53938,101100,50638,40330,51096,165793,68,33389,14,875200,31.8,11.6,3945,0.5,4988,0.6,9384,1.1,443,0.1,809704,92.5,51199,5.8,146279,19,50.9,39813,5.1,212,175,223,234,244
48217,Texas,Hill,180,37,35,38,4.3,4.7,7.7,31,46,6420,23,9,25,4072:01:00,12,32,3084:01:00,17,46,2177:01:00,20880,24717,84,4196,7861,53,1023,16294,6.3,103217,24106,4.3,1878,8338,23,40,10.9,16,9,5,2,5450,15,662,2,12,11,12,36,5343,27,56565,49289,63841,41118,49271,37833,50432,58566,9527,73,991,8,37006,23,21,2226,6,351,0.9,283,0.8,51,0.1,8011,21.6,25795,69.7,961,3,50.2,26761,76.3,112,78,149,101,202
48219,Texas,Hockley,190,39,37,40,4.5,4.6,6.5,35,60,4151,22,14,61,1644:01:00,10,44,2292:01:00,17,74,1348:01:00,10866,14374,76,2998,5839,51,845,10671,7.9,102362,20835,4.9,1146,6013,19,26,11.3,13,7,6,1,3320,14,3544,15,14,13,15,36,3375,26,55469,46361,64577,,,22257,41402,56882,5901,73,616,8,22921,25.9,15.2,802,3.5,314,1.4,110,0.5,18,0.1,11427,49.9,10317,45,989,5,50.4,9139,39.8,182,136,93,175,82
48221,Texas,Hood,83,35,34,37,3.8,4.5,7.7,26,73,8201,18,29,47,2126:01:00,36,57,1765:01:00,65,102,977:01:00,39512,43434,91,7159,12361,58,1833,27578,6.6,132948,28673,4.6,1804,12551,14,63,10.2,13,10,2,2,7860,14,2753,5,10,9,11,34,6595,20,85449,80961,89937,144095,,108013,54044,72509,18462,80,2223,10,63527,20.6,25.8,714,1.1,607,1,542,0.9,63,0.1,8286,13,52844,83.2,1189,2,51.2,16811,32.8,30,39,23,49,215
48223,Texas,Hopkins,143,37,36,39,4.3,4.8,6.9,32,40,7026,24,11,30,3371:01:00,10,27,3717:01:00,29,78,1282:01:00,20937,24671,85,4883,8533,57,895,17484,5.1,106127,25256,4.2,1890,8999,21,31,8.4,15,10,4,2,5640,16,3139,9,12,11,12,37,5779,27,53634,46155,61113,70284,67734,34801,44871,60446,9347,69,1412,11,37170,24.3,18.9,2568,6.9,385,1,284,0.8,53,0.1,6542,17.6,26988,72.6,868,3,50.9,20965,59.6,81,147,112,56,187
48225,Texas,Houston,177,41,39,42,5,5.1,6,36,54,3283,22,4,17,5742:01:00,5,22,4567:01:00,5,22,4567:01:00,13669,16834,81,2628,5593,47,529,10010,5.3,83154,18015,4.6,1552,4383,35,28,12.2,18,15,3,2,4110,18,3224,14,14,14,15,39,2720,25,45989,38744,53234,,,26504,31205,46828,5797,70,1000,13,22835,19.5,23,5581,24.4,167,0.7,171,0.7,2,0,2754,12.1,13972,61.2,288,1,46.5,17440,73.5,232,240,157,148,191
48227,Texas,Howard,186,39,38,41,4.5,4.5,6.6,35,79,5082,19,10,27,3666:01:00,18,49,2030:01:00,58,159,630:01:00,19842,24766,80,4707,10618,44,1093,13502,8.1,106546,24985,4.3,2508,7944,32,39,10.6,15,11,3,1,5620,16,4281,12,14,13,15,38,4157,22,58445,51408,65482,,,50938,48081,64950,7536,66,951,9,36540,21.5,13.1,2191,6,599,1.6,496,1.4,34,0.1,16093,44,17144,46.9,2294,7,42.6,7025,20.1,188,184,97,190,124
48229,Texas,Hudspeth,102,44,42,45,5.6,4.9,1.7,44,0,1266,32,,,,,,,,,,1761,3116,57,449,1447,31,149,1855,8,61971,10578,5.9,350,1115,31,0,0,20,12,6,6,770,17,2023,58,19,18,20,39,1046,35,40666,33349,47983,,,,30689,38073,828,73,156,16,4906,19.8,15.6,155,3.2,103,2.1,80,1.6,8,0.2,3783,77.1,832,17,1437,32,46.6,3476,100,244,236,243,235,112
48231,Texas,Hunt,138,36,35,38,4.4,4.8,6.8,30,59,15798,20,30,30,3286:01:00,33,33,3024:01:00,83,83,1202:01:00,54379,63553,86,12418,23092,54,2847,43506,6.5,110521,23938,4.6,5407,22898,24,109,11.1,17,13,5,1,15270,16,7259,8,12,11,12,38,13147,23,53760,47308,60212,,,24951,47356,64218,23357,70,4064,12,99807,23.7,16.4,7784,7.8,1333,1.3,1564,1.6,214,0.2,18319,18.4,69625,69.8,1969,2,50.7,48776,56.6,158,151,120,98,222
48233,Texas,Hutchinson,219,37,35,38,4.3,4.8,6.8,31,59,3472,20,6,29,3490:01:00,10,48,2068:01:00,2,10,10339:1,12023,13955,86,3146,5224,60,613,8539,7.2,108541,23822,4.6,1216,5303,23,30,14.3,10,7,3,1,3460,16,1950,9,12,11,12,37,2724,23,62536,52464,72608,,42500,83952,51111,59844,5658,80,498,7,20677,24.9,17.8,511,2.5,435,2.1,155,0.7,13,0.1,5022,24.3,14353,69.4,360,2,49.4,4998,22.6,161,155,116,83,13
48235,Texas,Irion,102,36,34,37,3.9,4.4,5.5,29,54,171,14,0,0,1536:00:00,0,0,1564:00:00,,,,1005,1068,94,243,308,79,45,752,6,106214,21868,4.9,84,351,24,4,26,21,15,4,6,230,14,422,26,11,11,12,36,128,15,73776,60214,87338,,,,72857,48250,525,83,85,14,1564,21.8,21.9,18,1.2,20,1.3,8,0.5,0,0,405,25.9,1093,69.9,0,0,48.8,1599,100,195,57,12,3,116
48237,Texas,Jack,136,38,37,40,4.6,4.9,6.2,33,52,1550,25,4,45,2234:01:00,,,,2,22,4528:01:00,5003,6166,81,1041,2426,43,238,3393,7,109026,19364,5.6,530,1854,29,9,10.1,12,7,3,1,1390,16,1431,16,12,11,13,37,1206,27,56028,46255,65801,,,11392,25238,60603,2455,77,250,8,9056,21.6,17.4,353,3.9,108,1.2,54,0.6,11,0.1,1586,17.5,6934,76.6,348,4,44.2,4813,53.2,122,209,220,171,143
48239,Texas,Jackson,152,38,37,39,4.1,4.5,7.4,31,51,2632,22,2,14,7380:01:00,5,34,2971:01:00,3,20,4951:01:00,8087,9931,81,1791,3538,51,422,7329,5.8,112269,25027,4.5,813,3780,22,19,12.9,16,10,5,1,2190,15,810,6,12,12,13,36,2036,25,56101,47806,64396,,,41175,52695,65276,3469,70,442,9,14854,25.4,19.1,899,6.1,137,0.9,169,1.1,5,0,5015,33.8,8556,57.6,345,2,50.3,8701,61.8,48,117,154,76,113
48241,Texas,Jasper,223,37,36,39,4.7,5.2,6.8,33,33,4859,18,12,34,2961:01:00,11,31,3216:01:00,17,48,2081:01:00,20693,24345,85,3138,7769,40,1443,12883,11.2,95075,19193,5,2724,8466,32,38,10.7,9,6,3,1,6340,18,2010,6,13,12,13,38,3921,20,51153,42604,59702,26250,,20746,31524,49693,10446,76,1036,8,35375,23.2,20.7,5619,15.9,289,0.8,221,0.6,29,0.1,2501,7.1,26330,74.4,317,1,50.5,27920,78.2,193,212,78,222,180
48243,Texas,Jeff Davis,102,36,34,37,4,4.2,8.1,30,43,373,27,1,44,2274:01:00,0,0,2220:00:00,4,180,555:01:00,1341,1661,81,167,267,63,50,975,5.1,81219,21234,3.8,0,280,0,7,30.8,8,5,1,2,220,10,189,8,12,11,13,34,356,27,55718,45279,66157,,,,,,830,84,119,13,2220,6.3,37.4,13,0.6,38,1.7,36,1.6,2,0.1,696,31.4,1410,63.5,52,2,49.7,2342,100,102,28,190,102,17
48245,Texas,Jefferson,171,41,40,42,4.3,4.6,6.8,34,61,42811,22,134,53,1877:01:00,158,63,1583:01:00,286,114,875:01:00,141274,168295,84,36674,69671,53,12570,105592,11.9,105637,20541,5.1,21066,60437,35,281,11.2,14,12,2,1,42130,17,19222,8,14,13,14,42,36176,26,48808,45711,51905,,66018,36539,45279,67707,57859,62,11359,13,250127,24.2,15.1,83247,33.3,2719,1.1,10001,4,245,0.1,56120,22.4,96882,38.7,11533,5,48.8,21196,8.4,198,174,68,230,225
48247,Texas,Jim Hogg,202,44,42,45,5.1,4.5,5.4,42,,774,18,1,19,5200:01:00,1,19,5184:01:00,,,,2108,2828,75,359,1102,33,180,1891,9.5,84253,15707,5.4,695,1794,39,0,0,18,11,7,1,970,19,989,19,18,17,19,37,638,24,41620,34068,49172,,,,34261,83321,1102,71,176,12,5184,30.1,17.2,36,0.7,39,0.8,31,0.6,2,0,4806,92.7,279,5.4,180,4,48.8,922,17.4,197,194,210,232,159
48249,Texas,Jim Wells,225,41,39,43,4.7,4.4,6.7,38,56,7341,22,9,22,4498:01:00,14,35,2889:01:00,36,89,1124:01:00,20199,25841,78,4774,10374,46,2094,16127,13,102694,18076,5.7,4444,11383,39,25,6.2,17,10,6,2,6610,16,3946,10,16,15,17,37,6136,27,48773,40969,56577,,,,40434,60370,9172,71,1320,11,40452,27.1,16.2,278,0.7,435,1.1,259,0.6,27,0.1,32455,80.2,7218,17.8,1414,4,50.4,16370,40.1,224,130,142,236,233
48251,Texas,Johnson,57,37,36,38,4.1,4.6,7.7,30,65,30040,20,77,44,2283:01:00,71,40,2529:01:00,142,79,1265:01:00,96083,112031,86,23111,44197,52,5390,82931,6.5,116991,32180,3.6,9551,44446,21,132,7.5,13,9,4,1,21590,13,9117,6,11,11,12,35,24198,23,67382,58557,76207,72768,69570,72743,57835,67256,42693,73,4540,8,179575,25.8,14.6,7165,4,1783,1,1930,1.1,947,0.5,41714,23.2,124176,69.1,5322,3,50.1,57165,37.9,43,86,72,43,232
48253,Texas,Jones,60,39,38,40,4.5,4.5,6.7,34,17,2407,20,6,30,3347:01:00,2,10,9938:01:00,1,5,19875:1,11718,14837,79,2646,7054,38,401,5738,7,95216,25500,3.7,765,3468,22,21,10.5,11,8,1,2,3030,15,2392,12,13,13,14,38,1939,23,47019,39129,54909,,,26500,36487,58819,4444,79,410,8,19875,17.6,16.1,2327,11.7,286,1.4,153,0.8,4,0,5568,28,11577,58.2,315,2,37.6,17202,85.1,101,201,211,154,96
48255,Texas,Karnes,79,40,38,41,4.4,4.3,7.7,35,53,2028,19,4,26,3900:01:00,9,58,1729:01:00,2,13,7781:01:00,7982,10540,76,1938,4885,40,440,7007,6.3,122792,20226,6.1,877,3155,28,16,10.3,13,8,5,2,2040,13,843,6,15,14,15,37,1583,22,56006,45863,66149,,,,40757,77778,3340,73,357,8,15562,21.9,14.6,1178,7.6,174,1.1,80,0.5,6,0,8865,57,5340,34.3,1245,9,42.1,5691,38.4,120,85,75,179,172
48257,Texas,Kaufman,63,36,35,37,4,4.5,8,29,59,20317,17,35,26,3890:01:00,56,39,2557:01:00,140,98,1023:01:00,71212,82983,86,20890,35938,58,4377,67263,6.5,132820,32478,4.1,8412,36116,23,97,7.1,14,11,3,1,15990,13,3561,3,11,11,12,36,16399,20,76352,67643,85061,,80828,48195,65320,79668,30075,77,4016,10,143198,28.1,11.8,21192,14.8,1457,1,2364,1.7,142,0.1,34825,24.3,81743,57.1,2877,2,50.7,50453,48.8,72,59,46,51,151
48259,Texas,Kendall,8,31,30,33,3.3,3.9,8.5,24,79,6399,17,41,86,1157:01:00,37,76,1311:01:00,89,183,545:01:00,29309,31162,94,7419,10283,72,1116,22123,5,194585,44467,4.4,1206,10606,11,45,9.5,15,13,2,1,5010,11,425,1,9,9,10,33,5001,18,103216,87393,119039,,,40875,93102,101333,11239,76,1757,12,48523,22.8,19.6,592,1.2,354,0.7,701,1.4,46,0.1,11991,24.7,34483,71.1,1113,3,50.9,19431,58.2,10,7,2,4,139
48261,Texas,Kenedy,NR,44,43,46,6.4,5.5,4.4,50,0,88,26,0,0,404:00:00,0,0,379:00:00,0,0,379:00:00,59,270,22,1,90,1,10,184,5.4,60042,21639,2.8,0,121,0,0,0,10,2,5,2,80,14,156,37,20,19,21,38,69,29,45980,37218,54742,,,,,,27,21,,,379,17.7,22.7,9,2.4,7,1.8,7,1.8,0,0,271,71.5,82,21.6,86,27,47.8,416,100,NR,NR,NR,NR,NR
48263,Texas,Kent,NR,35,33,36,3.8,4.4,4.1,28,,77,14,0,0,762:00:00,0,0,786:00:00,0,0,786:00:00,447,478,94,116,138,84,18,458,3.9,107469,30458,3.5,17,195,9,0,0,8,8,0,0,120,19,244,30,11,10,11,35,59,15,53472,43937,63007,,,,,,233,81,14,5,786,23.9,24.9,7,0.9,12,1.5,1,0.1,1,0.1,155,19.7,603,76.7,0,0,50.3,808,100,NR,NR,NR,NR,NR
48265,Texas,Kerr,137,36,35,38,4,4.4,7.4,29,63,8656,24,47,89,1119:01:00,37,70,1429:01:00,168,318,315:01:00,33868,37918,89,5943,10441,57,1271,21636,5.9,108969,27595,3.9,2314,9840,24,77,14.6,12,8,3,1,7690,15,2606,5,11,11,12,36,7098,27,57425,48357,66493,,,28116,48084,61858,14561,68,1823,9,52869,18.7,28.3,761,1.4,635,1.2,691,1.3,62,0.1,14927,28.2,35667,67.5,924,2,51.8,20397,41.1,69,37,8,42,86
48267,Texas,Kimble,197,38,37,40,4.6,4.8,6.3,33,63,718,24,4,92,1084:01:00,3,68,1465:01:00,1,23,4396:01:00,2773,3312,84,462,827,56,92,1809,5.1,112960,19099,5.9,107,793,13,5,11.5,14,12,1,1,820,19,389,8,13,12,14,36,603,27,47894,39299,56489,,,,33292,50268,1488,76,179,10,4396,18.1,30.5,32,0.7,59,1.3,38,0.9,5,0.1,1092,24.8,3183,72.4,69,2,51.1,2041,44.3,167,112,69,131,37
